"gene_id","pbs","auxin","pbs.1","pbs.2","pbs.3","auxin.1","auxin.2","auxin.3","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"gypsy6",27.0723857863271,34.8496577081695,36.3356784667145,26.0533837705526,18.8280951217142,45.493314139572,21.7173129254754,37.338346059461,30.9610217472483,0.0286543243197366,0.132596742577924,0.415799751833998,0.988835539494147
"gypsy7",16.4364529631166,11.1579830886331,16.2697067761408,22.5795992678122,10.4600528453968,14.7545883695909,10.8586564627377,7.86070443357075,13.7972180258749,-0.0213057094766269,0.132924030614827,0.431542013998365,0.988835539494147
"gypsy8",30.5333088455462,18.8420501820032,34.1663842298957,26.0533837705526,31.3801585361904,32.5830493161799,7.2391043084918,16.7039969213378,24.6876795137747,-0.0480905127639714,0.14174278580784,0.139590341396053,0.988835539494147
"gypsy9",4.82093838886899,5.04478540371282,5.42323559204694,6.94756900548068,2.09201056907936,1.84432354619886,5.42932823136885,7.86070443357075,4.93286189629091,-0.000826117593598156,0.132400315242696,0.954297051676905,0.988835539494147
"HB",28.9454067957094,25.5319286253891,18.9813245721643,36.4747372787736,31.3801585361904,15.3693628849905,30.7661933110902,30.4602296800866,27.2386677105493,-0.0144859446145771,0.129399950660698,0.678423841376034,0.988835539494147
"Helena",3.28858057052918,4.66545604189079,3.25394135522816,3.47378450274034,3.13801585361904,1.84432354619886,7.2391043084918,4.91294027098172,3.97701830620999,0.00376256063318285,0.132506275732117,0.809611526069502,0.988835539494147
"Helitron",0.697336856359787,0.20492483846654,0,0,2.09201056907936,0.614774515399621,0,0,0.451130847413163,-0.0001977387830821,0.133352913314717,0.962105449695702,0.988835539494147
"HeT-A",18317.4921587266,14111.0719297604,12200.653111428,28867.1492177722,13884.6741469797,8552.74305823953,22976.917075153,10803.5556558888,16214.2820442435,-0.136953536757947,0.185754877448653,0.0909782921983761,0.988835539494147
"HMS-Beagle",781.188400784041,741.117036415578,713.697803913377,981.344122024146,648.523276414601,667.645123723988,660.568268149877,895.137717372869,761.15271859981,-0.0112457699000897,0.121280298784559,0.817058697223619,0.988835539494147
"HMS-Beagle2",64.1148577240523,51.5992920896323,49.3514438876271,83.3708280657682,59.6223012187617,46.7228631703712,68.7714909306721,39.3035221678537,57.8570749068424,-0.0365987319377508,0.131937004246058,0.400930360334865,0.988835539494147
"hobo",348.014617346409,274.90387389593,352.510313483051,342.167773519924,349.365765036253,213.941531359068,267.846859414197,342.923230914524,311.459245621169,-0.0743191693579833,0.144262369783453,0.189097322998761,0.988835539494147
"hopper",11.7016762347083,12.1595756349152,8.6771769472751,19.1058147650719,7.32203699177776,14.1398138541913,14.4782086169836,7.86070443357075,11.9306259348117,0.00651420582727115,0.13107353883968,0.798475280897142,0.988835539494147
"hopper2",0.361549039469797,1.06490837973064,1.08464711840939,0,0,1.22954903079924,0,1.96517610839269,0.713228709600219,0.00278081432974925,0.133325189248391,0.630774170649227,0.988835539494147
"I-element",124.318672753532,99.6767555206502,109.549358959348,144.162056863724,119.244602437523,95.9048244023409,83.2496995476557,119.875742611954,111.997714137091,-0.0462054110141994,0.133201481076769,0.344343318574697,0.988835539494147
"Idefix",49.4579798002817,48.9380676452818,43.9282082955802,41.6854140328841,62.7603170723808,32.5830493161799,54.2932823136885,59.9378713059769,49.1980237227817,-0.00642311014777646,0.126616767190164,0.871297542459577,0.988835539494147
"INE-1",125.374352115302,110.516985777921,77.0099454070665,199.74260890757,99.3705020312696,62.7070005707613,164.689623018189,104.154333744812,117.945668946611,-0.0263332668883558,0.125695731338636,0.585046574504399,0.988835539494147
"invader1",42.3988955378994,34.8000905145914,31.4547664338722,38.2116295301437,57.5302906496824,28.2796277083826,28.9564172339672,47.1642266014245,38.5994930262454,-0.0256127329829212,0.130317576946453,0.51875567469863,0.988835539494147
"invader2",81.9291203377986,67.2068561975337,53.6900323612647,99.0028583280997,93.0944703240315,71.9286183017557,68.7714909306721,60.9204593601733,74.5679882676662,-0.0253875458135902,0.128566105132689,0.544742520798426,0.988835539494147
"invader3",46.9702077703391,60.3453716865068,35.7933549075098,48.6329830383648,56.4842853651427,83.6093340943485,32.5759693882131,64.8508115769587,53.6577897284229,0.0309380912347004,0.13232277178528,0.412326818099643,0.988835539494147
"invader4",32.6144592803887,39.2243646845826,36.8780020259192,13.8951380109614,47.0702378042856,35.656921893178,28.9564172339672,53.0597549266025,35.9194119824856,0.0249045975038651,0.130960982250356,0.500247522092782,0.988835539494147
